,Delta_Final_First_Entry_Date,Purchased  <=10 Days Prior,Purchased  <=20 Days Prior,Purchased  <=30 Days Prior,Purchased  <=50 Days Prior,Purchased  <=60 Days Prior
10/16/18,3711,,,,,
10/17/18,6646,,,,,
10/18/18,6143,,,,,
10/19/18,9162,,,,,
10/20/18,15275,,,,,
10/21/18,7921,,,,,
10/22/18,10758,,,,,
10/23/18,6742,,,,,
10/24/18,8984,,,,,
10/25/18,7306,,,,,
10/26/18,10409,185,,,,
10/27/18,16823,389,,,,
10/28/18,9175,405,,,,
10/29/18,12955,703,,,,
10/30/18,8455,396,,,,
10/31/18,6617,470,,,,
11/1/18,10763,874,,,,
11/2/18,14471,1413,,,,
11/3/18,18681,1305,,,,
11/4/18,11776,1555,,,,
11/5/18,13468,1735,130,,,
11/6/18,12514,1571,281,,,
11/7/18,10884,1130,176,,,
11/8/18,10409,1507,418,,,
11/9/18,12835,1924,478,,,
11/10/18,21151,2252,792,,,
11/11/18,17527,2252,776,,,
11/12/18,14072,2563,905,,,
11/13/18,8377,1236,466,,,
11/14/18,9786,1544,587,,,
11/15/18,10637,1741,778,126,,
11/16/18,13723,2665,1122,290,,
11/17/18,18417,3007,1320,363,,
11/18/18,19463,4455,2046,693,,
11/19/18,22699,5391,2565,924,,
11/20/18,18093,3242,1610,641,,
11/21/18,20117,3770,1888,701,,
11/22/18,21439,4600,2247,1112,,
11/23/18,24723,3956,1849,838,,
11/24/18,19569,3214,1545,629,,
11/25/18,12936,3093,1628,789,,
11/26/18,18624,5503,3161,1482,,
11/27/18,9450,2169,1340,679,,
11/28/18,10871,2645,1642,796,,
11/29/18,10425,2959,1826,936,,
11/30/18,13682,3839,2337,1236,,
12/1/18,18043,4351,2688,1241,,
12/2/18,12618,4234,2778,1341,,
12/3/18,18522,6551,4360,2290,,
12/4/18,11297,3320,2256,1158,,
12/5/18,8780,3521,2471,1320,60,
12/6/18,11162,3736,2585,1487,61,
12/7/18,15474,4512,2919,1638,117,
12/8/18,20869,4862,3191,1791,164,
12/9/18,10880,4272,2834,1707,214,
12/10/18,21121,7094,4596,2662,328,
12/11/18,10753,3200,2013,1159,201,
12/12/18,14016,3390,2275,1444,261,
12/13/18,12229,3663,2386,1520,250,
