Date,Room_Counts,Guest_Count,No_DVC_Room_Count,No_DVC_Guest_Count
2014-01-01,26470,89970,21935,71721
2014-01-02,26814,90207,22210,71740
2014-01-03,25363,84577,20796,66642
2014-01-04,23652,77309,19157,60272
2014-01-05,22528,71391,18267,55743
2014-01-06,21774,67078,17799,52674
2014-01-07,22006,65737,18104,51839
2014-01-08,24351,71224,20155,56273
2014-01-09,26101,76003,21705,60410
2014-01-10,27859,80837,23409,64996
2014-01-11,27956,80418,23512,64628
2014-01-12,25136,71381,20890,56532
2014-01-13,20880,59677,17154,46986
2014-01-14,19473,55270,16012,43664
2014-01-15,20189,58016,16694,46203
2014-01-16,23572,70594,19728,57115
2014-01-17,27126,84309,22774,68529
2014-01-18,27993,88843,23486,72278
2014-01-19,27538,87568,23076,71155
2014-01-20,23083,70593,19152,56694
2014-01-21,22356,65626,18549,52541
2014-01-22,22476,64602,18711,51688
2014-01-23,23523,68585,19595,55192
2014-01-24,24892,74458,20722,60103
2014-01-25,25822,76283,21591,61837
2014-01-26,25403,69047,21410,55787
2014-01-27,24048,64374,20255,51963
2014-01-28,23684,62817,19981,50873
2014-01-29,23383,64405,19659,52326
2014-01-30,25841,73272,22063,60814
2014-01-31,26813,78999,22983,66050
2014-02-01,27000,80565,23285,67878
2014-02-02,24727,74237,21283,62737
2014-02-03,23544,69376,20146,58253
2014-02-04,23422,67655,19900,56224
2014-02-05,24451,71378,20688,59008
2014-02-06,26982,81169,22965,67843
2014-02-07,27609,85852,23321,71286
2014-02-08,27552,85401,23302,70967
2014-02-09,26270,77208,22539,64965
2014-02-10,23997,67270,20540,56114
2014-02-11,21859,62430,18527,51575
2014-02-12,22703,66948,19149,54897
2014-02-13,23115,70765,19262,57171
2014-02-14,25120,79857,20925,64691
2014-02-15,26893,86872,22442,70168
2014-02-16,26949,85760,22544,68931
2014-02-17,24780,77020,20426,60543
2014-02-18,23887,73120,19642,57181
2014-02-19,23637,72670,19408,56857
2014-02-20,26707,80084,22280,63560
2014-02-21,27844,82187,23351,65722
2014-02-22,27817,80709,23373,64926
2014-02-23,25725,73845,21586,59563
2014-02-24,24919,69393,21159,56919
2014-02-25,24191,66857,20624,55303
2014-02-26,25359,70625,21640,58547
2014-02-27,25509,75503,21625,62634
2014-02-28,26535,82408,22498,68584
2014-03-01,27944,88781,23616,73362
2014-03-02,27501,86339,23218,71221
2014-03-03,27506,84141,23266,69254
2014-03-04,26985,81424,22863,67085
2014-03-05,26546,79662,22507,65723
2014-03-06,26482,78992,22389,64921
2014-03-07,24579,75061,20549,61082
2014-03-08,23869,73542,19751,59079
2014-03-09,22075,70284,17888,55451
2014-03-10,23033,72670,18792,57636
2014-03-11,23224,72284,18970,57176
2014-03-12,23953,74023,19673,58852
2014-03-13,25406,79276,21117,63941
2014-03-14,25477,81182,21265,66113
2014-03-15,25924,82899,21656,67603
2014-03-16,25878,82620,21591,67173
2014-03-17,25253,79995,20966,64596
2014-03-18,25056,78382,20768,63071
2014-03-19,25717,79694,21406,64332
2014-03-20,26310,82352,21901,66495
2014-03-21,26264,84119,21885,68316
2014-03-22,27489,89051,23061,72818
2014-03-23,27533,89346,23064,72659
2014-03-24,27859,90032,23401,73234
2014-03-25,27939,90208,23466,73312
2014-03-26,27946,90987,23472,74061
2014-03-27,27564,90593,23130,73710
2014-03-28,25795,84320,21541,68421
2014-03-29,24532,79402,20420,64266
2014-03-30,23063,73118,19044,58349
2014-03-31,23366,73710,19453,59279
2014-04-01,23406,73641,19525,59271
2014-04-02,23700,74881,19766,60436
2014-04-03,24852,79163,20849,64444
2014-04-04,24427,78526,20396,63810
2014-04-05,24505,78544,20542,64161
2014-04-06,22994,71792,19074,57437
2014-04-07,23786,73244,19894,58952
2014-04-08,23644,72729,19758,58472
2014-04-09,23601,73703,19704,59269
2014-04-10,23517,75330,19630,60921
2014-04-11,22618,73835,18737,59371
2014-04-12,23161,76835,19060,61228
2014-04-13,22129,74970,17969,58612
2014-04-14,23054,78309,18790,61296
2014-04-15,23013,78522,18694,61215
2014-04-16,22875,78839,18490,61114
2014-04-17,22324,78011,17942,60215
2014-04-18,20513,71947,16292,54822
2014-04-19,18433,64501,14604,49053
2014-04-20,18273,63501,14678,49030
2014-04-21,20889,71080,17300,56787
2014-04-22,21797,72662,18281,58828
2014-04-23,23260,76131,19728,62461
2014-04-24,25672,82621,22058,68779
2014-04-25,26040,83358,22491,70234
2014-04-26,25794,80504,22356,68393
2014-04-27,24904,75234,21431,63592
