entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
10/26/18,10+,139,139
10/27/18,10+,288,287
10/28/18,10+,312,306
10/29/18,10+,541,538
10/30/18,10+,299,295
10/31/18,10+,352,351
11/1/18,10+,661,641
11/2/18,10+,1056,1050
11/3/18,10+,1006,1001
11/4/18,10+,1166,1163
11/5/18,10+,1341,1333
11/6/18,10+,1178,1175
11/7/18,10+,860,852
11/8/18,10+,1106,1092
11/9/18,10+,1476,1463
11/10/18,10+,1717,1714
11/11/18,10+,1705,1690
11/12/18,10+,1939,1934
11/13/18,10+,932,922
11/14/18,10+,1172,1165
11/15/18,10+,1310,1292
11/16/18,10+,2021,2004
11/17/18,10+,2288,2268
11/18/18,10+,3472,3431
11/19/18,10+,4180,4154
11/20/18,10+,2477,2471
11/21/18,10+,2917,2888
11/22/18,10+,3601,3566
11/23/18,10+,3047,3028
11/24/18,10+,2437,2416
11/25/18,10+,2373,2358
11/26/18,10+,4190,4167
11/27/18,10+,1680,1676
11/28/18,10+,2040,2026
11/29/18,10+,2246,2239
11/30/18,10+,2962,2935
12/1/18,10+,3238,3220
12/2/18,10+,3145,3117
12/3/18,10+,4943,4912
12/4/18,10+,2206,2191
12/5/18,10+,2675,2666
12/6/18,10+,2828,2808
12/7/18,10+,3468,3441
12/8/18,10+,3687,3648
12/9/18,10+,3343,3327
12/10/18,10+,5415,5374
12/11/18,10+,2474,2457
12/12/18,10+,2614,2604
12/13/18,10+,2818,2789
12/14/18,10+,3702,3672
12/15/18,10+,4396,4368
12/16/18,10+,5333,5297
12/17/18,10+,6585,6527
12/18/18,10+,4104,4083
12/19/18,10+,4902,4856
12/20/18,10+,4946,4890
12/21/18,10+,6349,6258
12/22/18,10+,7937,7849
12/23/18,10+,10243,10146
12/24/18,10+,11882,11754
12/25/18,10+,9205,9146
12/26/18,10+,9152,9071
12/27/18,10+,11769,11615
12/28/18,10+,9891,9763
12/29/18,10+,9266,9162
12/30/18,10+,10554,10464
12/31/18,10+,13243,13100
1/1/19,10+,5205,5161
1/2/19,10+,7441,7344
1/3/19,10+,5543,5490
1/4/19,10+,4218,4189
1/5/19,10+,3766,3730
1/6/19,10+,5011,4950
1/7/19,10+,5092,5066
1/8/19,10+,4404,4369
1/9/19,10+,3163,3130
1/10/19,10+,3971,3931
1/11/19,10+,4380,4334
1/12/19,10+,4900,4871
1/13/19,10+,4216,4202
1/14/19,10+,7282,7244
1/15/19,10+,3864,3835
1/16/19,10+,3527,3495
1/17/19,10+,5187,5138
1/18/19,10+,6435,6373
1/19/19,10+,7655,7599
1/20/19,10+,6762,6686
1/21/19,10+,8127,8041
1/22/19,10+,8077,7992
1/23/19,10+,4879,4839
1/24/19,10+,5266,5220
1/25/19,10+,6236,6161
1/26/19,10+,6850,6810
1/27/19,10+,6268,6222
1/28/19,10+,8327,8264
1/29/19,10+,4862,4799
1/30/19,10+,4107,4065
1/31/19,10+,4682,4622
2/1/19,10+,6055,5977
2/2/19,10+,7150,7079
2/3/19,10+,6746,6700
2/4/19,10+,9102,9017
2/5/19,10+,5811,5755
2/6/19,10+,5033,5006
2/7/19,10+,5499,5440
2/8/19,10+,6012,5949
2/9/19,10+,6786,6754
2/10/19,10+,6683,6627
2/11/19,10+,8785,8712
2/12/19,10+,5258,5196
2/13/19,10+,6054,6006
2/14/19,10+,7837,7766
2/15/19,10+,7643,7576
2/16/19,10+,7262,7215
2/17/19,10+,8038,7976
2/18/19,10+,10412,10352
2/19/19,10+,11563,11442
2/20/19,10+,7714,7662
2/21/19,10+,8086,8012
2/22/19,10+,8297,8224
2/23/19,10+,8422,8335
2/24/19,10+,7674,7563
2/25/19,10+,11045,10940
2/26/19,10+,7072,6997
2/27/19,10+,5943,5882
2/28/19,10+,6894,6834
3/1/19,10+,7022,6945
3/2/19,10+,7966,7883
3/3/19,10+,8687,8637
3/4/19,10+,9405,9335
3/5/19,10+,7323,7252
3/6/19,10+,6188,6111
3/7/19,10+,6275,6158
3/8/19,10+,5147,5094
3/9/19,10+,5841,5784
3/10/19,10+,10131,10063
3/11/19,10+,11925,11790
3/12/19,10+,10664,10570
3/13/19,10+,7224,7181
3/14/19,10+,7310,7232
3/15/19,10+,6255,6165
3/16/19,10+,6293,6207
3/17/19,10+,10102,9984
3/18/19,10+,11466,11367
3/19/19,10+,7597,7519
3/20/19,10+,6518,6445
3/21/19,10+,6970,6909
3/22/19,10+,7471,7398
3/23/19,10+,6742,6676
3/24/19,10+,11649,11537
3/25/19,10+,14470,14326
3/26/19,10+,9653,9560
3/27/19,10+,7488,7431
3/28/19,10+,7702,7602
3/29/19,10+,7584,7522
3/30/19,10+,6640,6601
3/31/19,10+,11639,11513
4/1/19,10+,13791,13683
4/2/19,10+,8906,8820
4/3/19,10+,7039,6997
4/4/19,10+,7746,7685
4/5/19,10+,6384,6332
4/6/19,10+,5698,5645
4/7/19,10+,8381,8296
4/8/19,10+,9045,8994
4/9/19,10+,6593,6545
4/10/19,10+,5739,5697
4/11/19,10+,7009,6929
4/12/19,10+,8037,7954
4/13/19,10+,8592,8499
4/14/19,10+,11744,11674
4/15/19,10+,15167,15047
4/16/19,10+,10937,10833
4/17/19,10+,9352,9254
4/18/19,10+,9645,9538
4/19/19,10+,8980,8907
4/20/19,10+,9043,8986
4/21/19,10+,8642,8588
4/22/19,10+,12766,12655
4/23/19,10+,9445,9382
4/24/19,10+,6908,6835
4/25/19,10+,6354,6292
4/26/19,10+,5988,5944
4/27/19,10+,6722,6655
4/28/19,10+,8485,8406
4/29/19,10+,10848,10758
4/30/19,10+,6382,6324
5/1/19,10+,5572,5512
5/2/19,10+,5823,5727
5/3/19,10+,5869,5804
5/4/19,10+,6852,6793
5/5/19,10+,7941,7870
5/6/19,10+,12429,12336
5/7/19,10+,8491,8378
5/8/19,10+,6607,6534
5/9/19,10+,5262,5229
5/10/19,10+,5472,5411
5/11/19,10+,6418,6358
5/12/19,10+,7785,7712
5/13/19,10+,11966,11838
5/14/19,10+,8802,8740
5/15/19,10+,6488,6422
5/16/19,10+,6245,6171
5/17/19,10+,5999,5941
5/18/19,10+,7095,7046
5/19/19,10+,7925,7834
5/20/19,10+,10616,10516
5/21/19,10+,6141,6081
5/22/19,10+,5129,5088
5/23/19,10+,5692,5636
5/24/19,10+,5775,5703
5/25/19,10+,8601,8516
5/26/19,10+,8828,8748
5/27/19,10+,10795,10721
5/28/19,10+,9872,9777
5/29/19,10+,6354,6298
5/30/19,10+,6016,5948
5/31/19,10+,5937,5875
6/1/19,10+,7734,7662
6/2/19,10+,9132,9013
6/3/19,10+,11368,11256
6/4/19,10+,8017,7925
6/5/19,10+,6325,6269
6/6/19,10+,6377,6303
6/7/19,10+,6581,6506
6/8/19,10+,6927,6865
6/9/19,10+,8719,8621
6/10/19,10+,11698,11596
6/11/19,10+,8515,8433
6/12/19,10+,6430,6355
6/13/19,10+,6072,6000
6/14/19,10+,6352,6285
6/15/19,10+,7756,7688
6/16/19,10+,8615,8506
6/17/19,10+,11673,11540
6/18/19,10+,8964,8852
6/19/19,10+,7066,7007
6/20/19,10+,6849,6803
6/21/19,10+,6782,6739
6/22/19,10+,8297,8228
6/23/19,10+,9153,9093
6/24/19,10+,12326,12195
6/25/19,10+,9669,9618
6/26/19,10+,7465,7398
6/27/19,10+,7141,7080
6/28/19,10+,6607,6536
6/29/19,10+,7631,7539
6/30/19,10+,11137,11017
7/1/19,10+,10293,10210
7/2/19,10+,8816,8618
7/3/19,10+,8009,7944
7/4/19,10+,7965,7901
7/5/19,10+,8131,8094
7/6/19,10+,6864,6775
7/7/19,10+,10134,10040
7/8/19,10+,12329,12229
7/9/19,10+,9899,9602
7/10/19,10+,7911,7600
7/11/19,10+,7171,7074
7/12/19,10+,6769,6721
7/13/19,10+,7481,7398
7/14/19,10+,8217,8124
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
