"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","0+","Destination","452"
"2014-10-01","0+","Disney Springs","3744"
"2014-10-01","0+","Disney's Animal Kingdom Theme Park","3091"
"2014-10-01","0+","Disney's Animal Kingdom Theme Park Resort Area","1639"
"2014-10-01","0+","Disney's BoardWalk","267"
"2014-10-01","0+","Disney's Hollywood Studios","6330"
"2014-10-01","0+","Downtown Disney Resort Area","234"
"2014-10-01","0+","Epcot","12565"
"2014-10-01","0+","Epcot Resort Area","2407"
"2014-10-01","0+","Magic Kingdom Park","7752"
"2014-10-01","0+","Magic Kingdom Resort Area","12217"
"2014-10-02","0+","Destination","575"
"2014-10-02","0+","Disney Springs","4198"
"2014-10-02","0+","Disney's Animal Kingdom Theme Park","3329"
"2014-10-02","0+","Disney's Animal Kingdom Theme Park Resort Area","1957"
"2014-10-02","0+","Disney's BoardWalk","321"
"2014-10-02","0+","Disney's Hollywood Studios","6108"
"2014-10-02","0+","Downtown Disney Resort Area","409"
"2014-10-02","0+","Epcot","11271"
"2014-10-02","0+","Epcot Resort Area","2586"
"2014-10-02","0+","Magic Kingdom Park","6796"
"2014-10-02","0+","Magic Kingdom Resort Area","12524"
"2014-10-03","0+","Destination","894"
"2014-10-03","0+","Disney Springs","5368"
"2014-10-03","0+","Disney's Animal Kingdom Theme Park","3612"
"2014-10-03","0+","Disney's Animal Kingdom Theme Park Resort Area","2170"
"2014-10-03","0+","Disney's BoardWalk","324"
"2014-10-03","0+","Disney's Hollywood Studios","7196"
"2014-10-03","0+","Downtown Disney Resort Area","394"
"2014-10-03","0+","Epcot","12904"
"2014-10-03","0+","Epcot Resort Area","2813"
"2014-10-03","0+","Magic Kingdom Park","6934"
"2014-10-03","0+","Magic Kingdom Resort Area","13569"
"2014-10-04","0+","Destination","1214"
"2014-10-04","0+","Disney Springs","5651"
"2014-10-04","0+","Disney's Animal Kingdom Theme Park","3842"
"2014-10-04","0+","Disney's Animal Kingdom Theme Park Resort Area","2401"
"2014-10-04","0+","Disney's BoardWalk","364"
"2014-10-04","0+","Disney's Hollywood Studios","5133"
"2014-10-04","0+","Downtown Disney Resort Area","452"
"2014-10-04","0+","Epcot","13726"
"2014-10-04","0+","Epcot Resort Area","2926"
"2014-10-04","0+","Four Seasons Resort Orlando at Walt Disney World Resort","5"
"2014-10-04","0+","Magic Kingdom Park","9526"
"2014-10-04","0+","Magic Kingdom Resort Area","15233"
"2014-10-05","0+","Destination","833"
"2014-10-05","0+","Disney Springs","4887"
"2014-10-05","0+","Disney's Animal Kingdom Theme Park","4003"
"2014-10-05","0+","Disney's Animal Kingdom Theme Park Resort Area","2248"
"2014-10-05","0+","Disney's BoardWalk","478"
"2014-10-05","0+","Disney's Hollywood Studios","7948"
"2014-10-05","0+","Downtown Disney Resort Area","386"
"2014-10-05","0+","Epcot","11622"
"2014-10-05","0+","Epcot Resort Area","2847"
"2014-10-05","0+","Magic Kingdom Park","7412"
"2014-10-05","0+","Magic Kingdom Resort Area","13496"
"2014-10-06","0+","Destination","578"
"2014-10-06","0+","Disney Springs","4014"
"2014-10-06","0+","Disney's Animal Kingdom Theme Park","4031"
"2014-10-06","0+","Disney's Animal Kingdom Theme Park Resort Area","1934"
"2014-10-06","0+","Disney's BoardWalk","399"
"2014-10-06","0+","Disney's Hollywood Studios","7822"
"2014-10-06","0+","Downtown Disney Resort Area","302"
"2014-10-06","0+","Epcot","11898"
"2014-10-06","0+","Epcot Resort Area","2960"
"2014-10-06","0+","Magic Kingdom Park","9270"
"2014-10-06","0+","Magic Kingdom Resort Area","12318"
"2014-10-07","0+","Destination","590"
"2014-10-07","0+","Disney Springs","4962"
"2014-10-07","0+","Disney's Animal Kingdom Theme Park","3951"
"2014-10-07","0+","Disney's Animal Kingdom Theme Park Resort Area","1707"
"2014-10-07","0+","Disney's BoardWalk","328"
"2014-10-07","0+","Disney's Hollywood Studios","5312"
"2014-10-07","0+","Downtown Disney Resort Area","375"
"2014-10-07","0+","Epcot","11546"
"2014-10-07","0+","Epcot Resort Area","2916"
"2014-10-07","0+","Four Seasons Resort Orlando at Walt Disney World Resort","2"
"2014-10-07","0+","Magic Kingdom Park","9159"
"2014-10-07","0+","Magic Kingdom Resort Area","12883"
"2014-10-08","0+","Destination","684"
"2014-10-08","0+","Disney Springs","4613"
"2014-10-08","0+","Disney's Animal Kingdom Theme Park","3712"
"2014-10-08","0+","Disney's Animal Kingdom Theme Park Resort Area","1796"
"2014-10-08","0+","Disney's BoardWalk","329"
"2014-10-08","0+","Disney's Hollywood Studios","7573"
"2014-10-08","0+","Downtown Disney Resort Area","256"
"2014-10-08","0+","Epcot","12669"
"2014-10-08","0+","Epcot Resort Area","2933"
"2014-10-08","0+","Magic Kingdom Park","8805"
"2014-10-08","0+","Magic Kingdom Resort Area","12202"
"2014-10-09","0+","Destination","739"
"2014-10-09","0+","Disney Springs","5265"
"2014-10-09","0+","Disney's Animal Kingdom Theme Park","3846"
"2014-10-09","0+","Disney's Animal Kingdom Theme Park Resort Area","1867"
"2014-10-09","0+","Disney's BoardWalk","349"
"2014-10-09","0+","Disney's Hollywood Studios","6656"
"2014-10-09","0+","Downtown Disney Resort Area","337"
"2014-10-09","0+","Epcot","12063"
"2014-10-09","0+","Epcot Resort Area","2603"
"2014-10-09","0+","Magic Kingdom Park","7380"
"2014-10-09","0+","Magic Kingdom Resort Area","13528"
"2014-10-10","0+","Destination","982"
"2014-10-10","0+","Disney Springs","5699"
"2014-10-10","0+","Disney's Animal Kingdom Theme Park","4346"
"2014-10-10","0+","Disney's Animal Kingdom Theme Park Resort Area","2007"
"2014-10-10","0+","Disney's BoardWalk","398"
"2014-10-10","0+","Disney's Hollywood Studios","7630"
"2014-10-10","0+","Downtown Disney Resort Area","363"
"2014-10-10","0+","Epcot","13910"
"2014-10-10","0+","Epcot Resort Area","2975"
"2014-10-10","0+","Magic Kingdom Park","7555"
"2014-10-10","0+","Magic Kingdom Resort Area","14022"
"2014-10-11","0+","Destination","1358"
"2014-10-11","0+","Disney Springs","6484"
"2014-10-11","0+","Disney's Animal Kingdom Theme Park","4273"
"2014-10-11","0+","Disney's Animal Kingdom Theme Park Resort Area","2455"
"2014-10-11","0+","Disney's BoardWalk","461"
"2014-10-11","0+","Disney's Hollywood Studios","7889"
"2014-10-11","0+","Downtown Disney Resort Area","392"
"2014-10-11","0+","Epcot","15477"
"2014-10-11","0+","Epcot Resort Area","3187"
"2014-10-11","0+","Magic Kingdom Park","9480"
"2014-10-11","0+","Magic Kingdom Resort Area","15459"
"2014-10-12","0+","Destination","1130"
"2014-10-12","0+","Disney Springs","5840"
"2014-10-12","0+","Disney's Animal Kingdom Theme Park","4633"
"2014-10-12","0+","Disney's Animal Kingdom Theme Park Resort Area","2593"
"2014-10-12","0+","Disney's BoardWalk","500"
"2014-10-12","0+","Disney's Hollywood Studios","6661"
"2014-10-12","0+","Downtown Disney Resort Area","462"
"2014-10-12","0+","Epcot","14199"
"2014-10-12","0+","Epcot Resort Area","2868"
"2014-10-12","0+","Magic Kingdom Park","9605"
"2014-10-12","0+","Magic Kingdom Resort Area","14347"
"2014-10-13","0+","Destination","693"
"2014-10-13","0+","Disney Springs","4334"
"2014-10-13","0+","Disney's Animal Kingdom Theme Park","4529"
"2014-10-13","0+","Disney's Animal Kingdom Theme Park Resort Area","2167"
"2014-10-13","0+","Disney's BoardWalk","302"
"2014-10-13","0+","Disney's Hollywood Studios","7846"
"2014-10-13","0+","Downtown Disney Resort Area","373"
"2014-10-13","0+","Epcot","12476"
"2014-10-13","0+","Epcot Resort Area","2684"
"2014-10-13","0+","Magic Kingdom Park","7647"
"2014-10-13","0+","Magic Kingdom Resort Area","13043"
"2014-10-14","0+","Destination","778"
"2014-10-14","0+","Disney Springs","4978"
"2014-10-14","0+","Disney's Animal Kingdom Theme Park","4181"
"2014-10-14","0+","Disney's Animal Kingdom Theme Park Resort Area","1911"
"2014-10-14","0+","Disney's BoardWalk","286"
"2014-10-14","0+","Disney's Hollywood Studios","7442"
"2014-10-14","0+","Downtown Disney Resort Area","423"
"2014-10-14","0+","Epcot","12056"
"2014-10-14","0+","Epcot Resort Area","2550"
"2014-10-14","0+","Four Seasons Resort Orlando at Walt Disney World Resort","5"
"2014-10-14","0+","Magic Kingdom Park","9214"
"2014-10-14","0+","Magic Kingdom Resort Area","13277"
"2014-10-15","0+","Destination","627"
"2014-10-15","0+","Disney Springs","4855"
"2014-10-15","0+","Disney's Animal Kingdom Theme Park","4097"
"2014-10-15","0+","Disney's Animal Kingdom Theme Park Resort Area","1894"
"2014-10-15","0+","Disney's BoardWalk","314"
"2014-10-15","0+","Disney's Hollywood Studios","7557"
"2014-10-15","0+","Downtown Disney Resort Area","346"
"2014-10-15","0+","Epcot","13518"
"2014-10-15","0+","Epcot Resort Area","2568"
"2014-10-15","0+","Four Seasons Resort Orlando at Walt Disney World Resort","2"
"2014-10-15","0+","Magic Kingdom Park","9216"
"2014-10-15","0+","Magic Kingdom Resort Area","13221"
"2014-10-16","0+","Destination","798"
"2014-10-16","0+","Disney Springs","5498"
"2014-10-16","0+","Disney's Animal Kingdom Theme Park","4090"
"2014-10-16","0+","Disney's Animal Kingdom Theme Park Resort Area","2172"
"2014-10-16","0+","Disney's BoardWalk","368"
"2014-10-16","0+","Disney's Hollywood Studios","6340"
"2014-10-16","0+","Downtown Disney Resort Area","432"
"2014-10-16","0+","Epcot","13253"
"2014-10-16","0+","Epcot Resort Area","2498"
"2014-10-16","0+","Four Seasons Resort Orlando at Walt Disney World Resort","54"
"2014-10-16","0+","Magic Kingdom Park","7613"
"2014-10-16","0+","Magic Kingdom Resort Area","14215"
"2014-10-17","0+","Destination","998"
"2014-10-17","0+","Disney Springs","5903"
"2014-10-17","0+","Disney's Animal Kingdom Theme Park","4490"
"2014-10-17","0+","Disney's Animal Kingdom Theme Park Resort Area","2252"
"2014-10-17","0+","Disney's BoardWalk","355"
"2014-10-17","0+","Disney's Hollywood Studios","7603"
"2014-10-17","0+","Downtown Disney Resort Area","467"
"2014-10-17","0+","Epcot","14205"
"2014-10-17","0+","Epcot Resort Area","2868"
"2014-10-17","0+","Four Seasons Resort Orlando at Walt Disney World Resort","6"
"2014-10-17","0+","Magic Kingdom Park","7358"
"2014-10-17","0+","Magic Kingdom Resort Area","14351"
"2014-10-18","0+","Destination","1117"
"2014-10-18","0+","Disney Springs","6021"
"2014-10-18","0+","Disney's Animal Kingdom Theme Park","4178"
"2014-10-18","0+","Disney's Animal Kingdom Theme Park Resort Area","2554"
"2014-10-18","0+","Disney's BoardWalk","416"
"2014-10-18","0+","Disney's Hollywood Studios","7465"
