arvl_dt,booking_window_range,rm_nt_cn,gst_cn,gst_cn_2,delta_tkt_cn
10/1/14,0+,20145,60551,12897,0
10/2/14,0+,22524,69007,16327,0
10/3/14,0+,36942,117910,26864,0
10/4/14,0+,40085,118304,24181,0
10/5/14,0+,37727,102269,22199,0
10/6/14,0+,19619,54801,12900,0
10/7/14,0+,14318,42745,9523,0
10/8/14,0+,20619,64526,14269,0
10/9/14,0+,28047,89422,21436,0
10/10/14,0+,30099,94530,24099,0
10/11/14,0+,40083,130892,26027,0
10/12/14,0+,31885,99896,21232,0
10/13/14,0+,23874,69012,16243,0
10/14/14,0+,19754,55196,12576,0
10/15/14,0+,22387,67502,15360,0
10/16/14,0+,22174,68981,17271,0
10/17/14,0+,27018,83066,21349,0
10/18/14,0+,39460,123357,25764,0
10/19/14,0+,40120,119788,26187,0
10/20/14,0+,21640,58827,13158,0
10/21/14,0+,19264,53799,12083,0
10/22/14,0+,20049,60996,14160,0
10/23/14,0+,21110,65430,17684,0
10/24/14,0+,23943,72891,21674,0
10/25/14,0+,31342,95182,24324,0
10/26/14,0+,51583,151737,29697,0
10/27/14,0+,21827,62543,13288,0
10/28/14,0+,18067,53875,10924,0
10/29/14,0+,25883,78851,16635,0
10/30/14,0+,24429,76915,16931,0
10/31/14,0+,21897,69729,15931,0
11/1/14,0+,47065,154320,28462,0
11/2/14,0+,27698,82190,18280,0
11/3/14,0+,17347,49100,11426,0
11/4/14,0+,16468,47188,10867,0
11/5/14,0+,20337,58996,14173,0
11/6/14,0+,23099,68053,17320,0
11/7/14,0+,26011,76508,22776,0
11/8/14,0+,26819,84051,23776,0
11/9/14,0+,56204,177176,33368,0
11/10/14,0+,26537,78578,17353,0
11/11/14,0+,24051,69211,14310,0
11/12/14,0+,20970,61799,13658,0
11/13/14,0+,18181,56512,12924,0
11/14/14,0+,27292,85410,20856,0
11/15/14,0+,40991,132053,25493,0
11/16/14,0+,34258,102047,21191,0
11/17/14,0+,16726,46741,10618,0
11/18/14,0+,12486,35641,8380,0
11/19/14,0+,17519,54916,12379,0
11/20/14,0+,31550,108733,23126,0
11/21/14,0+,28091,99248,28090,0
11/22/14,0+,40452,144239,29100,0
11/23/14,0+,26726,93852,21670,0
11/24/14,0+,15965,53088,13409,0
11/25/14,0+,18234,61532,14500,0
11/26/14,0+,22126,73920,19303,0
11/27/14,0+,16169,51871,13153,0
11/28/14,0+,21819,69536,18880,0
11/29/14,0+,34422,110804,24766,0
11/30/14,0+,31419,95324,21466,0
12/1/14,0+,24611,69210,15206,0
12/2/14,0+,18447,52053,11718,0
12/3/14,0+,22990,68993,15518,0
12/4/14,0+,23261,71178,18099,0
12/5/14,0+,25045,77961,21135,0
12/6/14,0+,36104,114969,24915,0
12/7/14,0+,32856,96770,22807,0
12/8/14,0+,21278,61792,15055,0
12/9/14,0+,15143,43522,11848,0
12/10/14,0+,15869,45456,12813,0
12/11/14,0+,15916,47372,15459,0
12/12/14,0+,37518,119701,28904,0
12/13/14,0+,34538,112802,24405,0
12/14/14,0+,32941,104070,22193,0
12/15/14,0+,18907,57373,13082,0
12/16/14,0+,13645,44012,9911,0
12/17/14,0+,19873,67051,14108,0
12/18/14,0+,20514,71263,16756,0
12/19/14,0+,27397,96571,23615,0
12/20/14,0+,35453,124082,25148,0
12/21/14,0+,30981,108532,21583,0
12/22/14,0+,25227,87020,17771,0
12/23/14,0+,26678,90428,18193,0
12/24/14,0+,17857,60527,14750,0
12/25/14,0+,16095,54731,12973,0
12/26/14,0+,35127,120918,27375,0
12/27/14,0+,38951,134495,28185,0
12/28/14,0+,29756,100138,22606,0
12/29/14,0+,22336,74826,17792,0
12/30/14,0+,20755,69733,17592,0
12/31/14,0+,15103,50621,15958,0
1/1/15,0+,17472,57230,14774,0
1/2/15,0+,22546,75807,19010,0
1/3/15,0+,23245,75025,18968,0
1/4/15,0+,23541,70935,18727,0
1/5/15,0+,33568,99533,22198,0
1/6/15,0+,24623,66276,13869,0
1/7/15,0+,32455,90971,19394,0
1/8/15,0+,25056,71483,16999,0
1/9/15,0+,25352,73533,19221,0
1/10/15,0+,22157,67884,16072,0
1/11/15,0+,26654,77608,16256,0
1/12/15,0+,22779,62899,13653,0
1/13/15,0+,16635,45225,10056,0
1/14/15,0+,19212,60085,12829,0
1/15/15,0+,29383,94519,22341,0
1/16/15,0+,30965,97795,26614,0
1/17/15,0+,30002,97523,21155,0
1/18/15,0+,27495,77179,17058,0
1/19/15,0+,24964,72673,16180,0
1/20/15,0+,18253,51713,10562,0
1/21/15,0+,19717,57524,13087,0
1/22/15,0+,22332,67427,16739,0
1/23/15,0+,24833,76838,21794,0
1/24/15,0+,33984,102712,22672,0
1/25/15,0+,29287,82965,17948,0
1/26/15,0+,20951,56032,13421,0
1/27/15,0+,15828,45623,10701,0
1/28/15,0+,19573,57737,13062,0
1/29/15,0+,28540,87028,20642,0
1/30/15,0+,26938,83020,23158,0
1/31/15,0+,31241,100521,22051,0
2/1/15,0+,28791,85860,18337,0
2/2/15,0+,19589,54277,13020,0
2/3/15,0+,19511,51546,11843,0
2/4/15,0+,25044,74732,16796,0
2/5/15,0+,29024,91290,22108,0
2/6/15,0+,24918,79010,21584,0
2/7/15,0+,27326,85271,19700,0
2/8/15,0+,27574,77164,18076,0
2/9/15,0+,19664,53128,14154,0
