"arvl_dt","booking_window_range","rm_nt_cn","gst_cn","gst_cn_2","delta_tkt_cn"
"2014-10-01","40+","16862","51994","10127","0"
"2014-10-02","40+","18616","58793","12533","0"
"2014-10-03","40+","31021","101948","20356","0"
"2014-10-04","40+","32232","100844","18384","0"
"2014-10-05","40+","29838","85609","17059","0"
"2014-10-06","40+","14402","41712","8887","0"
"2014-10-07","40+","10913","33644","6518","0"
"2014-10-08","40+","16889","53929","10925","0"
"2014-10-09","40+","21826","71287","15750","0"
"2014-10-10","40+","23273","74825","16923","0"
"2014-10-11","40+","33653","111453","20024","0"
"2014-10-12","40+","25390","81465","15591","0"
"2014-10-13","40+","18139","53814","11376","0"
"2014-10-14","40+","14995","43885","8819","0"
"2014-10-15","40+","17864","55694","11448","0"
"2014-10-16","40+","18240","57804","13308","0"
"2014-10-17","40+","21509","67174","15176","0"
"2014-10-18","40+","33313","106012","19264","0"
"2014-10-19","40+","33622","102510","19322","0"
"2014-10-20","40+","16958","47597","9551","0"
"2014-10-21","40+","15028","43531","8663","0"
"2014-10-22","40+","16343","51069","10570","0"
"2014-10-23","40+","16718","53223","12960","0"
"2014-10-24","40+","18465","57207","14836","0"
"2014-10-25","40+","24763","77662","16346","0"
"2014-10-26","40+","44696","136634","24552","0"
"2014-10-27","40+","17837","52742","9929","0"
"2014-10-28","40+","15116","46413","8373","0"
"2014-10-29","40+","21946","68376","13163","0"
"2014-10-30","40+","21905","69986","14356","0"
"2014-10-31","40+","19258","62088","12914","0"
"2014-11-01","40+","43220","142978","24564","0"
"2014-11-02","40+","21080","64693","12952","0"
"2014-11-03","40+","12561","36939","7674","0"
"2014-11-04","40+","13100","39047","7974","0"
"2014-11-05","40+","16855","50270","10857","0"
"2014-11-06","40+","20327","60524","14084","0"
"2014-11-07","40+","22554","66778","18795","0"
"2014-11-08","40+","23055","73194","18797","0"
"2014-11-09","40+","51881","166017","29623","0"
"2014-11-10","40+","21776","66875","12905","0"
"2014-11-11","40+","19613","59111","10869","0"
"2014-11-12","40+","17852","54180","10720","0"
"2014-11-13","40+","16036","50743","10572","0"
"2014-11-14","40+","22889","73065","15263","0"
"2014-11-15","40+","36601","120000","21079","0"
"2014-11-16","40+","28974","89087","17069","0"
"2014-11-17","40+","12397","37172","7608","0"
"2014-11-18","40+","9157","27868","5675","0"
"2014-11-19","40+","13851","45824","9240","0"
"2014-11-20","40+","26087","90308","16632","0"
"2014-11-21","40+","20151","71002","15735","0"
"2014-11-22","40+","35611","128433","24061","0"
"2014-11-23","40+","21460","76849","16022","0"
"2014-11-24","40+","12728","43072","9797","0"
"2014-11-25","40+","15020","51093","11267","0"
"2014-11-26","40+","17104","58141","14447","0"
"2014-11-27","40+","12385","40380","9063","0"
"2014-11-28","40+","16402","53016","12043","0"
"2014-11-29","40+","29126","94838","18190","0"
"2014-11-30","40+","26450","81983","16596","0"
"2014-12-01","40+","20363","59016","11684","0"
"2014-12-02","40+","15054","43720","8708","0"
"2014-12-03","40+","19468","59127","12367","0"
"2014-12-04","40+","17813","54357","13364","0"
"2014-12-05","40+","17091","52956","13781","0"
"2014-12-06","40+","24979","79664","15391","0"
"2014-12-07","40+","23461","70479","14623","0"
"2014-12-08","40+","13804","40883","8722","0"
"2014-12-09","40+","9294","27457","6365","0"
"2014-12-10","40+","9618","29204","7295","0"
"2014-12-11","40+","11022","33887","9734","0"
"2014-12-12","40+","32211","104282","21930","0"
"2014-12-13","40+","30105","99773","18626","0"
"2014-12-14","40+","26898","86824","16874","0"
"2014-12-15","40+","14776","46392","9543","0"
"2014-12-16","40+","10516","35179","6957","0"
"2014-12-17","40+","15841","54527","10510","0"
"2014-12-18","40+","16480","58160","12352","0"
"2014-12-19","40+","22055","78936","17454","0"
"2014-12-20","40+","29687","105319","19366","0"
"2014-12-21","40+","25814","91127","16706","0"
"2014-12-22","40+","20486","71187","13280","0"
"2014-12-23","40+","22008","74870","13883","0"
"2014-12-24","40+","12975","44476","9748","0"
"2014-12-25","40+","12685","43086","9074","0"
"2014-12-26","40+","27716","96505","19756","0"
"2014-12-27","40+","32519","113475","21622","0"
"2014-12-28","40+","24602","83714","17346","0"
"2014-12-29","40+","18313","61941","13850","0"
"2014-12-30","40+","15711","53352","12557","0"
"2014-12-31","40+","10214","34978","9954","0"
"2015-01-01","40+","11484","38160","7981","0"
"2015-01-02","40+","16366","55952","11697","0"
"2015-01-03","40+","17015","55885","11211","0"
"2015-01-04","40+","15927","49565","11101","0"
"2015-01-05","40+","24080","73151","14196","0"
"2015-01-06","40+","18128","50870","8928","0"
"2015-01-07","40+","26843","75939","15047","0"
"2015-01-08","40+","20326","58897","13312","0"
"2015-01-09","40+","19808","57883","14661","0"
"2015-01-10","40+","16642","51862","10745","0"
"2015-01-11","40+","17937","54292","10602","0"
"2015-01-12","40+","15187","44192","8775","0"
"2015-01-13","40+","11018","31645","6060","0"
"2015-01-14","40+","13178","43229","8304","0"
"2015-01-15","40+","16062","53766","11682","0"
"2015-01-16","40+","18423","60232","14492","0"
"2015-01-17","40+","22637","75350","14380","0"
"2015-01-18","40+","17389","56208","10648","0"
"2015-01-19","40+","15481","47509","9184","0"
"2015-01-20","40+","11989","35397","6222","0"
"2015-01-21","40+","13437","40581","8157","0"
"2015-01-22","40+","15184","47564","10521","0"
"2015-01-23","40+","15982","51052","11650","0"
"2015-01-24","40+","24232","78594","14085","0"
"2015-01-25","40+","19561","59707","11395","0"
"2015-01-26","40+","12190","35907","7090","0"
"2015-01-27","40+","9810","29402","5526","0"
"2015-01-28","40+","11915","36568","7451","0"
"2015-01-29","40+","13378","40968","9015","0"
"2015-01-30","40+","16041","50268","11470","0"
"2015-01-31","40+","23672","77108","13765","0"
"2015-02-01","40+","21295","65150","11979","0"
"2015-02-02","40+","13712","39002","7830","0"
"2015-02-03","40+","13257","36671","7271","0"
"2015-02-04","40+","13584","41648","8878","0"
"2015-02-05","40+","10526","33301","7351","0"
"2015-02-06","40+","12356","39559","9438","0"
"2015-02-07","40+","20366","66279","12308","0"
"2015-02-08","40+","17744","53170","10800","0"
"2015-02-09","40+","10564","31690","6982","0"
"2015-02-10","40+","11703","36699","7372","0"
"2015-02-11","40+","16890","54749","11466","0"
"2015-02-12","40+","18958","62808","13229","0"
"2015-02-13","40+","19389","66670","15514","0"
"2015-02-14","40+","27018","94579","18128","0"
"2015-02-15","40+","19958","69856","13956","0"
"2015-02-16","40+","15375","50487","11603","0"
"2015-02-17","40+","12623","39831","8634","0"
"2015-02-18","40+","17757","50846","11617","0"
"2015-02-19","40+","22505","66608","17242","0"
"2015-02-20","40+","19975","61114","16581","0"
"2015-02-21","40+","21788","69940","15016","0"
"2015-02-22","40+","23370","70995","14316","0"
"2015-02-23","40+","15079","45249","9733","0"
"2015-02-24","40+","12205","37086","7383","0"
"2015-02-25","40+","14388","44355","9434","0"
"2015-02-26","40+","15028","47158","10965","0"
"2015-02-27","40+","15302","48728","11746","0"
"2015-02-28","40+","22600","72902","13884","0"
