"FAC_ID","ENTRPRS_FAC_ID","FAC_NM","fac_short_nm","FAC_STS_NM","rsrt_ctgy_nm","FAC_CTGY_TYP_NM","DESTINATION_FAC_ID","GNRL_FAC_TYP_NM"
"159","80010402","Disney's All-Star Movies Resort","All-Star Movies Resort","Operating                                                                       ","Value                                                                           ","Resort","105894","Walt Disney World Owned & Operated"
"307","80010400","Disney's All-Star Music Resort","All-Star Music Resort","Operating                                                                       ","Value                                                                           ","Resort","105894","Walt Disney World Owned & Operated"
"278","80010401","Disney's All-Star Sports Resort","All-Star Sports Resort","Operating                                                                       ","Value                                                                           ","Resort","105894","Walt Disney World Owned & Operated"
"212","80010395","Disney's Animal Kingdom Lodge","Animal Kingdom Lodge","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"28996","5","Disney's Animal Kingdom Villas - Jambo House","Animal Kingdom Villas - Jambo","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"204","80010404","Disney's Art of Animation Resort","Art of Animation Resort","Operating                                                                       ","Value                                                                           ","Resort","105894","Walt Disney World Owned & Operated"
"897","1","Bay Lake Tower at Disney's Contemporary Resort","Bay Lake Tower","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"206","80010389","Disney's Beach Club Resort","Beach Club Resort","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"572","80010407","Disney's Beach Club Villas","Beach Club Villas","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"297","80010386","Disney's BoardWalk Inn","BoardWalk Inn","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"324","80010391","Disney's BoardWalk Villas","Boardwalk Villas","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"227","80010399","Disney's Caribbean Beach Resort","Caribbean Beach Resort","Operating                                                                       ","Moderate                                                                        ","Resort","105894","Walt Disney World Owned & Operated"
"298","80010385","Disney's Contemporary Resort","Contemporary Resort","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"115475","18390992","Copper Creek Villas & Cabins at Disney's Wilderness Lodge","Copper Creek Villas & Cabins","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"213","80010396","Disney's Coronado Springs Resort","Coronado Springs Resort","Operating                                                                       ","Moderate                                                                        ","Resort","105894","Walt Disney World Owned & Operated"
"115783","18995875","Disney's Riviera Resort","Disney's Riviera Resort","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"10041","334223","Disneyland Hotel","Disneyland Hotel","Operating                                                                       ","Deluxe                                                                          ","Resort","105461","Disneyland Owned and Operated"
"108","144943","Fort Wilderness Creekside Meadow","Fort CreeksideMeadow","Operating                                                                       ","Campground                                                                      ","Resort","105894","Walt Disney World Owned & Operated"
"445","80010408","The Cabins at Disney's Fort Wilderness Resort","Fort Wilderness Cabins","Operating                                                                       ","Moderate                                                                        ","Resort","105894","Walt Disney World Owned & Operated"
"132","80010392","The Campsites at Disney's Fort Wilderness Resort","Fort Wilderness Campsites","Operating                                                                       ","Campground                                                                      ","Resort","105894","Walt Disney World Owned & Operated"
"459","334222","Disney's Grand Californian Hotel & Spa","Grand Californian","Operating                                                                       ","Deluxe                                                                          ","Resort","105461","Disneyland Owned and Operated"
"898","305669","The Villas at Disney's Grand Californian Hotel & Spa","Grand Californian Villas","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105461","Disneyland Owned and Operated"
