swid,ref_idvl_id,exprnc_id,tkt_mod_id,new_ats_gst_id,new_sls_txn_id,new_sls_txn_dssn_id,old_sls_txn_id,old_sls_txn_dssn_id,new_ats_prod_id,new_prod_ds,new_price_subtyp_nm,new_tkt_vld_strt_dt,new_tkt_exp_d,old_tkt_vld_strt_dt,old_tkt_exp_dt,new_atsr_tkt_id,old_ats_prod_id,orig_prod_ds,orig_price_subtyp_nm,old_atsr_tkt_id,old_sls_txn_dt,new_sls_txn_dt,sls_txn_typ_cd,net_sls_am,ti2_txn_idvl_id,GST_ID,MINOR_GST_IN,EML_NULL_IN,ADDR_NULL_IN,ST_CD,ADDR_PSTL_CD,CNTRY_ID,RSDNC_CD,SOCAL_IN,FLRES_IN,US_TERR_IN,DMA_CD,DMA_DESC,DMA_DVSN_NM,DMR_RGN_NM,HSHOLD_LIFESTAGE,DVC_MBR_IN,DVC_LEAD_IN,DLR_ACTV_AP_IN,DLR_LPSD_AP_IN,DLR_LPSD_AP_DAYS,WDW_ACTV_AP_IN,WDW_LPSD_AP_IN,WDW_LPSD_AP_DAYS,ABD_INHOUSE_IN,AUL_INHOUSE_IN,BCH_INHOUSE_IN,DCL_INHOUSE_IN,DLR_INHOUSE_IN,WDW_INHOUSE_IN,ABD_PST_STY_IN,ABD_PST_STY_CNT,ABD_MAX_PST_STY_DT,AUL_PST_STY_IN,AUL_PST_STY_CNT,AUL_MAX_PST_STY_DT,BCH_PST_STY_IN,BCH_PST_STY_CNT,BCH_MAX_PST_STY_DT,DCL_PST_STY_IN,DCL_PST_STY_CNT,DCL_MAX_PST_STY_DT,DLR_PST_STY_CNT,DLR_MAX_PST_STY_DT,DLR_PST_STY_IN,DLR_GNH_PST_STY_IN,DLR_GNH_PST_STY_CNT,DLR_GNH_MAX_PST_STY_DT,WDW_PST_STY_IN,WDW_PST_STY_CNT,WDW_MAX_PST_STY_DT,ABD_BKNG_IN,ABD_MAX_BKNG_DT,AUL_BKNG_IN,AUL_MAX_BKNG_DT,BCH_BKNG_IN,BCH_MAX_BKNG_DT,DCL_BKNG_IN,DCL_MAX_BKNG_DT,DLR_BKNG_IN,DLR_MAX_BKNG_DT,WDW_BKNG_IN,WDW_MAX_BKNG_DT,ABD_FUT_STY_IN,ABD_MIN_FUT_ARVL_DT,AUL_FUT_STY_IN,AUL_MIN_FUT_ARVL_DT,BCH_FUT_STY_IN,BCH_MIN_FUT_ARVL_DT,DCL_FUT_STY_IN,DCL_MIN_FUT_ARVL_DT,DLR_FUT_STY_IN,DLR_MIN_FUT_ARVL_DT,DLR_GNH_FUT_STY_IN,DLR_GNH_MIN_FUT_ARVL_DT,WDW_FUT_STY_IN,WDW_MIN_FUT_ARVL_DT,ABD_CNCL_IN,ABD_MAX_CNCL_DT,AUL_CNCL_IN,AUL_MAX_CNCL_DT,BCH_CNCL_IN,BCH_MAX_CNCL_DT,DCL_CNCL_IN,DCL_MAX_CNCL_DT,DLR_CNCL_IN,DLR_MAX_CNCL_DT,WDW_CNCL_IN,WDW_MAX_CNCL_DT,AUL_SHOP_IN,AUL_MAX_SHP_DT,BCH_SHOP_IN,BCH_MAX_SHP_DT,DLR_SHOP_IN,DLR_MAX_SHP_DT,WDW_SHOP_IN,WDW_MAX_SHP_DT,ABD_HR_IN,ABD_MAX_HR_DT,AUL_HR_IN,AUL_MAX_HR_DT,DCL_HR_IN,DCL_MAX_HR_DT,DLR_HR_IN,DLR_MAX_HR_DT,WDW_HR_IN,WDW_MAX_HR_DT,ABD_CLTRL_IN,ABD_MAX_CLTRL_DT,AUL_CLTRL_IN,AUL_MAX_CLTRL_DT,DCL_CLTRL_IN,DCL_MAX_CLTRL_DT,DLR_CLTRL_IN,DLR_MAX_CLTRL_DT,WDW_CLTRL_IN,WDW_MAX_CLTRL_DT,DLR_STKFIG_IN,DLR_MAX_STKFIG_DT,WDW_STKFIG_IN,WDW_MAX_STKFIG_DT,DLR_DINE_IN,DLR_MAX_DINE_DT,WDW_DINE_IN,WDW_MAX_DINE_DT,DLR_PFE_IN,DLR_MAX_PFE_DT,WDW_PFE_IN,WDW_MAX_PFE_DT,REG_IN,MAX_REG_DT,AUL_DPI_PHOTO_IN,AUL_MAX_ACTV_CAPTR_DT,DLR_DPI_PHOTO_IN,DLR_MAX_ACTV_CAPTR_DT,WDW_DPI_PHOTO_IN,WDW_MAX_ACTV_CAPTR_DT,DS_ORD_IN,DS_MAX_ORD_DT,DVA_ENG_IN,DVA_MAX_ENG_DT,EML_POS_RESP_IN,MAX_EML_POS_RESP_DT,MAX_INTRCT_DT,GST_PROMO_DM,ABD_GST_PROMO_DM,AUL_GST_PROMO_DM,DCL_GST_PROMO_DM,DLR_GST_PROMO_DM,DVC_GST_PROMO_DM,WDW_GST_PROMO_DM,GST_PROMO_EM,ABD_GST_PROMO_EM,AUL_GST_PROMO_EM,DCL_GST_PROMO_EM,DLR_GST_PROMO_EM,DVC_GST_PROMO_EM,DVCMBR_GST_PROMO_EM,WDW_GST_PROMO_EM,WDW_GST_PROMO_FBCA,ABD_MAX_PST_NGHT_CNT_2YR,ABD_PST_STY_CNT_2YR,ABD_MAX_PST_NGHT_CNT,AUL_MAX_PST_NGHT_CNT_2YR,AUL_PST_STY_CNT_2YR,AUL_LST_STY_MTH_2YR,AUL_MAX_PST_NGHT_CNT,DCL_LST_STY_CTGY_2YR,DCL_MAX_PST_NGHT_CNT_2YR,DCL_LST_PORT_2YR,DCL_PST_STY_CNT_2YR,DCL_LST_REGN_2YR,DCL_MAX_PST_NGHT_CNT,DCL_PST_STY_HGHST_CTGY,DCL_CSTWY_CLB_STS,DLR_MAX_PST_NGHT_CNT_2YR,DLR_LST_STY_CTGY_2YR,DLR_PST_STY_CNT_2YR,DLR_LST_STY_MTH_2YR,DLR_MAX_PST_NGHT_CNT,DLR_PST_STY_HGHST_CTGY,WDW_MAX_PST_NGHT_CNT_2YR,WDW_LST_STY_CTGY_2YR,WDW_PST_STY_CNT_2YR,WDW_LST_STY_MTH_2YR,WDW_MAX_PST_NGHT_CNT,WDW_PST_STY_HGHST_CTGY,ABD_GTM_VPC,ABD_DAYS_TO_ARVL,ABD_DAYS_TO_ARVL_CTGRY,ABD_FUT_ARVL_MTH,ABD_PST_STY_42_DAY_IN,ABD_LST_STY_DAY_SINCE_CNT,ABD_LST_STY_YRS_SINCE_CTGRY,ABD_RCNT_STY_42_DAY_IN,BCH_GTM_VPC,BCH_DAYS_TO_ARVL,BCH_DAYS_TO_ARVL_CTGRY,BCH_FUT_ARVL_MTH,BCH_PST_STY_42_DAY_IN,BCH_LST_STY_DAY_SINCE_CNT,BCH_LST_STY_YRS_SINCE_CTGRY,BCH_RCNT_STY_42_DAY_IN,WDW_GTM_VPC,WDW_DAYS_TO_ARVL,WDW_DAYS_TO_ARVL_CTGRY,WDW_FUT_ARVL_MTH,WDW_PST_STY_42_DAY_IN,WDW_LST_STY_DAY_SINCE_CNT,WDW_LST_STY_YRS_SINCE_CTGRY,WDW_RCNT_STY_42_DAY_IN,DCL_GTM_VPC,DCL_DAYS_TO_ARVL,DCL_DAYS_TO_ARVL_CTGRY,DCL_FUT_ARVL_MTH,DCL_PST_STY_42_DAY_IN,DCL_LST_STY_DAY_SINCE_CNT,DCL_LST_STY_YRS_SINCE_CTGRY,DCL_RCNT_STY_42_DAY_IN,DLR_GTM_VPC,DLR_DAYS_TO_ARVL,DLR_DAYS_TO_ARVL_CTGRY,DLR_FUT_ARVL_MTH,DLR_PST_STY_42_DAY_IN,DLR_LST_STY_DAY_SINCE_CNT,DLR_LST_STY_YRS_SINCE_CTGRY,DLR_RCNT_STY_42_DAY_IN,AUL_PST_STY_42_DAY_IN,AUL_GTM_VPC,AUL_DAYS_TO_ARVL,AUL_DAYS_TO_ARVL_CTGRY,AUL_FUT_ARVL_MTH,AUL_RCNT_STY_42_DAY_IN,AUL_LST_STY_DAY_SINCE_CNT,AUL_LST_STY_YRS_SINCE_CTGRY,DLR_AP_STATUS,WDW_AP_STATUS,AUL_RCNT_SHOP_IN,AUL_DAYS_SINCE_SHOP,BCH_RCNT_SHOP_IN,BCH_DAYS_SINCE_SHOP,DLR_RCNT_SHOP_IN,DLR_DAYS_SINCE_SHOP,WDW_RCNT_SHOP_IN,WDW_DAYS_SINCE_SHOP,WDW_ACTV_TP_TKT_IN,MVMCP_VALID_IN,MNSSHP_VALID_IN,DLR_ACTV_TP_TKT_IN,CAST_MBR_IN,CAST_MBR_ADDR_IN
{2DFAE8F4-CE86-449D-8B60-86A6C178A1C3},3118624071,CAFEF00D650200000000000146703075,153239520,9.30732E+15,514749454,528110966,511932902,524909280,59228,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,6/8/19,6/8/19,5/18/19,5/14/19,666324044,59228,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,664493389,4/17/19,5/14/19,G,0,3118624070,3118624071,N,N,N,VA,23462,USA,N,N,N,N,544,NORFOLK-PORTSMTH-NEWPT NWS,South Atlantic,South,YOUNG ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,N,0,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,5/2/18,N,?,N,?,N,?,N,?,N,?,N,?,5/2/18,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{DACD37A8-3188-4F87-A06F-85F17FE351A3},2838749193,CAFEF00D650200000000000008838444,149433217,9.30273E+15,499159193,511999819,439516191,451742196,53349,3 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,12/24/18,12/25/18,9/25/17,12/25/18,655294541,53423,3 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,618440418,9/25/17,12/25/18,G,0,2838749192,2838749193,N,N,N,NC,28677,USA,N,N,N,N,517,CHARLOTTE,South Atlantic,South,ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,N,0,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,5/26/17,N,?,N,?,N,?,N,?,N,?,Y,6/22/17,6/22/17,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{A03971C8-32FD-437C-A08A-277DDE335EAC},2573028917,CAFEF00D650200000000000317166720,150152706,9.30273E+15,502389633,515260853,499443578,512286122,53409,1 DAY (1 THEME PARK) FL AGES(10+) EXPIRES,DELTA,1/22/19,1/22/19,1/23/19,1/20/19,657538456,53409,1 DAY (1 THEME PARK) FL AGES(10+) EXPIRES,DELTA,655399568,12/27/18,1/20/19,G,0,3295389177,2573028917,N,N,N,FL,34236,USA,N,N,Y,N,539,TAMPA-ST. PETE (SARASOTA),South Atlantic,Florida,ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,1,1/24/19,N,?,N,?,N,?,N,?,N,?,Y,11/29/18,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,11/29/18,N,?,N,?,Y,1/22/19,N,?,N,?,N,?,1/24/19,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,2,Moderate,1,1,2,Moderate,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,Y,151,less_one_year,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{9E26AFC1-0BE9-4E21-BD5B-E0E574CF1EEF},1702836571,CAFEF00D650200000000000175920666,148241247,7.60143E+15,493278069,506049050,492858296,505623636,53367,4 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,2/3/19,2/9/19,2/17/19,11/2/18,651392586,53367,4 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,651038999,10/29/18,11/2/18,G,0,3050618225,1702836571,N,N,N,MS,39553,USA,N,N,N,N,746,BILOXI-GULFPORT,East South Central,South,ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,2,2/4/18,N,?,N,?,N,?,N,?,N,?,Y,10/15/17,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,10/15/17,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,1/31/18,N,?,N,?,Y,2/3/18,N,?,N,?,Y,1/28/19,1/28/19,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,4,Moderate,1,2,4,Moderate,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,Y,505,1_year,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{B3DEE57F-F4C1-4DE0-A729-E54720E643C6},1384756006,CAFEF00D650200000000000045039759,150736426,7.6004E+15,504895827,517795215,504790821,517688902,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,3/8/19,2/14/19,3/4/19,2/14/19,659390005,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,659322598,2/13/19,2/14/19,G,0,1384756005,1384756006,N,N,N,LA,70301,USA,N,N,N,N,622,NEW ORLEANS,West South Central,South,SENIORS,N,Y,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,10,9/19/18,N,?,N,?,N,?,N,?,N,?,Y,9/13/18,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,2/25/19,Y,1/21/11,N,?,N,?,Y,1/21/11,N,?,N,?,N,?,N,?,Y,1/21/11,Y,1/21/11,N,?,Y,11/22/17,N,?,Y,3/9/17,N,?,Y,12/4/15,Y,1/21/11,N,?,N,?,Y,9/19/18,N,?,N,?,Y,10/17/18,2/25/19,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,2,Moderate,1,9,7,Deluxe,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,Y,278,less_one_year,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{94FA53F5-EF57-4879-BA53-F5EF5748792A},2586040487,CAFEF00D650200000000000016229141,150860093,8.60111E+15,505469869,518375168,499053030,511892102,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,2/19/19,2/19/19,2/18/19,2/19/19,659801564,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,655178798,12/24/18,2/19/19,G,0,2586040486,2586040487,N,N,N,CA,95121,USA,N,N,N,N,807,SAN FRANCISCO-OAK-SAN JOSE,Pacific,West,ADULTS,N,N,N,Y,327,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,1,2/20/19,N,?,N,?,N,?,N,?,N,?,Y,1/16/19,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,11/28/13,N,?,Y,6/10/18,Y,2/19/19,N,?,N,?,Y,6/28/18,2/20/19,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,2,Value,1,2,2,Value,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,Y,124,less_one_year,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,Lapsed,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{0E7062E9-F7FC-4EFE-8013-4AD4993041C6},341297638,CAFEF00D650200000000000148733338,153903446,7.60371E+15,517878158,531330196,517205471,530649555,53379,6 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,6/8/19,6/13/19,6/7/19,6/13/19,668165163,53983,6 DAY (1 THEME PARK PER DAY) AGES(10+) EXPIRES,DELTA,667704473,6/6/19,6/13/19,G,0,1498571137,341297638,N,N,N,TX,75081,USA,N,N,N,N,623,DALLAS-FT. WORTH,West South Central,South,ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,2,6/17/19,N,?,N,?,N,?,N,?,N,?,Y,4/28/19,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,9/8/10,N,?,N,?,N,?,N,?,N,?,Y,11/19/18,6/17/19,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,6,Moderate,2,6,6,Moderate,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,Advocate,?,?,?,N,7,less_one_year,Y,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{8EF9F9B5-33A9-44D5-B61B-D78CD4EC05CF},3432609447,CAFEF00D650200000000000216261635,149232621,9.30251E+15,498265702,511094973,497848799,510672748,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,12/19/18,12/19/18,12/20/18,12/17/18,654653876,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,654421900,12/13/18,12/17/18,G,0,2554794404,3432609447,N,N,N,AL,36107,USA,N,N,N,N,698,MONTGOMERY-SELMA,East South Central,South,ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,N,0,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,6/2/16,N,?,N,?,N,?,N,?,N,?,N,?,6/2/16,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,N,N,N,N,N,N
{C9E47839-55EC-4173-85B7-DF6F1529C8AD},1276760509,CAFEF00D650200000000000172607995,152653383,9.30682E+15,512283651,525263456,512051641,525029100,59244,3 DAY (1 THEME PARK PER DAY) AGES(3-9) EXPIRES,DELTA,6/19/19,4/20/19,6/26/19,4/20/19,664696688,59244,3 DAY (1 THEME PARK PER DAY) AGES(3-9) EXPIRES,DELTA,664562507,4/18/19,4/20/19,G,4.79,2980493157,1276760509,N,N,N,MA,2347,USA,N,N,N,N,506,BOSTON (MANCHESTER),New England,Northeast,TWEEN,N,Y,N,N,?,N,N,?,N,N,N,N,N,Y,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,Y,1,1/12/18,N,?,N,?,N,?,N,?,N,?,Y,3/11/19,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,2/5/14,N,?,N,?,N,?,N,?,N,?,N,?,Y,2/5/14,Y,2/5/14,N,?,N,?,N,?,N,?,N,?,N,?,Y,10/30/17,N,?,N,?,Y,1/12/18,N,?,N,?,Y,2/1/19,3/11/19,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,4,Value,1,1,4,Value,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,Delight,?,?,?,Y,528,1_year,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,Y,N,N,N,N,N
{65E39E3D-FCC2-4283-8680-95ECE6D1488D},3135430245,CAFEF00D650200000000000164849104,150946718,9.30272E+15,505816722,518726427,501190218,514048697,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,5/4/19,2/22/19,2/23/19,2/22/19,659975406,53337,1 DAY (1 THEME PARK) AGES(10+) EXPIRES,DELTA,656840882,1/9/19,2/22/19,G,0,3135430244,3135430245,N,N,N,VA,22031,USA,N,N,N,N,511,"WASHINGTON, DC (HAGRSTWN)",South Atlantic,South,YOUNG ADULTS,N,N,N,N,?,N,N,?,N,N,N,N,N,N,N,0,?,N,0,?,N,0,?,N,0,?,0,?,N,N,0,?,N,0,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,N,?,Y,5/25/18,N,?,N,?,N,?,N,?,N,?,Y,5/26/18,5/26/18,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,?,0,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,?,?,?,?,N,0,?,N,N,?,?,?,?,N,0,?,?,?,N,?,N,?,N,?,N,?,Y,N,N,N,N,N
