swid,ref_idvl_id,exprnc_id,travelPlanId,reservationId,FAC_ID,entrprs_fac_id,res_fac_nm,trvl_sts_nm,TPS_ARVL_DT,TPS_DPRT_DT,new_tkt_vld_strt_dt,new_tkt_exp_d,old_tkt_vld_strt_dt,old_tkt_exp_dt
{99E82C20-6763-4838-A82C-206763D838A9},438642787,CAFEF00D650200000000000041043082,490010641263,490011262804,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,3/6/2019,3/11/2019,3/10/2019,3/10/2019,3/6/2019,1/4/2019
{FC4474C8-5FA2-4468-AE70-3E1CC1463F35},104393414,CAFEF00D650200000000000045704874,483454249341,483451981832,80010391,80010391,Disney's BoardWalk Villas,booked,7/10/2019,7/14/2019,7/10/2019,7/14/2019,7/11/2019,6/17/2019
{525CAD29-ED67-41FC-9CAD-29ED6711FCD4},2417333587,CAFEF00D650200000000000208858139,490283219191,490281632854,80010388,80010388,Disney's Polynesian Village Resort,past visit,3/30/2019,4/4/2019,3/31/2019,4/4/2019,3/30/2019,4/4/2019
{0973902A-B3A0-4C11-B390-2AB3A01C1124},343072761,CAFEF00D650200000000000314330950,483206468884,483201362412,80010401,80010401,Disney's All-Star Sports Resort,past visit,6/1/2019,6/8/2019,6/7/2019,6/7/2019,6/6/2019,6/7/2019
{0CE85B1A-5B03-4CDC-83B3-5A3E59E363D8},107489480,CAFEF00D650200000000000219478499,482750734141,482751090598,80010397,80010397,Disney's Port Orleans Resort - Riverside,past visit,2/6/2019,2/9/2019,2/6/2019,2/10/2019,2/7/2019,12/4/2018
{79FDB751-7508-406A-8B05-E6B66F5BCCE8},2153715575,CAFEF00D650200000000000110929791,490512303058,490511459403,80010399,80010399,Disney's Caribbean Beach Resort,past visit,4/30/2019,5/1/2019,5/1/2019,5/1/2019,5/7/2019,3/8/2019
{06A3AA29-977E-4AFF-98E3-33991405E9A3},406228483,CAFEF00D650200000000000353909160,490376636651,490371311149,80010396,80010396,Disney's Coronado Springs Resort,past visit,5/26/2019,5/29/2019,5/26/2019,5/30/2019,3/26/2019,3/19/2019
{F0F72274-49A9-4EDF-A704-EFB00EAE13CE},111827815,CAFEF00D650200000000000355611023,490095083651,490091078444,80010402,80010402,Disney's All-Star Movies Resort,past visit,1/13/2019,1/14/2019,1/13/2019,1/13/2019,1/14/2019,1/9/2019
{7E8143DB-8776-46BF-8154-3E6E5DC026AA},3403744853,CAFEF00D650200000000000374884238,490887057892,490881505711,80010404,80010404,Disney's Art of Animation Resort,canelled,4/29/2019,5/2/2019,4/29/2019,4/29/2019,4/28/2019,3/31/2019
{28C2A445-F253-4FB4-82A4-45F2530FB4F3},100623880,CAFEF00D650200000000000041694897,490418355897,490411641168,80010403,80010403,Disney's Pop Century Resort,past visit,3/31/2019,4/5/2019,4/3/2019,4/3/2019,4/5/2019,4/2/2019
{D844FD60-7E1C-42D6-8585-AF05B07453C4},3471674404,CAFEF00D650200000000000037674309,481518482858,481511353790,80010383,80010383,Disney's Saratoga Springs Resort & Spa,past visit,12/31/2018,1/5/2019,1/1/2019,1/6/2019,12/31/2018,1/2/2019
{457B14F3-FFE2-4162-838A-3F9C47D26B5B},2429680931,CAFEF00D650200000000000383023382,491517612418,491511929741,80010403,80010403,Disney's Pop Century Resort,past visit,5/31/2019,6/3/2019,5/31/2019,6/2/2019,5/30/2019,6/2/2019
{2E3B187E-C9FC-46D1-9F75-7B6D850B9CB8},116896145,CAFEF00D650200000000000119785841,483237197479,483231491382,273239,273239,Disney's Animal Kingdom Villas - Kidani Village,past visit,1/14/2019,1/15/2019,1/15/2019,1/19/2019,1/16/2019,1/19/2019
{4802928D-ECA4-421B-86D7-1E0661A288A7},332433671,CAFEF00D650200000000000021133749,483144397991,483141929137,80010402,80010402,Disney's All-Star Movies Resort,past visit,2/13/2019,2/18/2019,2/14/2019,2/20/2019,2/10/2019,12/27/2018
{788BFB4B-FF01-4194-B735-4967C9E8C1A6},101692789,CAFEF00D650200000000000362380953,490063777011,490061817612,80010400,80010400,Disney's All-Star Music Resort,past visit,3/16/2019,3/20/2019,3/17/2019,3/20/2019,3/18/2019,3/3/2019
{E6D5D98C-10AC-4C93-BC04-931CEFEB7A82},2882642437,CAFEF00D650200000000000126941443,483164912661,483161036783,16491822,16491822,The Villas at Disney's Grand Floridian Resort & Spa,past visit,5/13/2019,5/18/2019,5/11/2019,5/18/2019,5/13/2019,4/29/2019
{83C0EEDB-95E5-4210-8CF4-BB23CD6E4E99},107306644,CAFEF00D650200000000000099171066,483247836551,483241638562,80010404,80010404,Disney's Art of Animation Resort,past visit,12/28/2018,12/30/2018,2/25/2019,2/25/2019,12/29/2018,1/15/2019
{EF326E23-3850-4EED-962C-1E505D62C6BF},2156663927,CAFEF00D650200000000000009302033,490136984718,490131458801,80010407,80010407,Disney's Beach Club Villas,past visit,2/20/2019,2/21/2019,2/20/2019,2/20/2019,2/19/2019,1/16/2019
{EF3BB6E0-B976-44CE-9447-4B63343EED48},118945041,CAFEF00D650200000000000052402987,491539029851,491531236338,80010394,80010394,Disney's Wilderness Lodge,past visit,6/2/2019,6/8/2019,6/3/2019,6/5/2019,6/2/2019,6/5/2019
{E980C3E0-CC2B-42C9-80C3-E0CC2BE2C992},3224360304,CAFEF00D650200000000000132813281,491073700421,491071946473,80010407,80010407,Disney's Beach Club Villas,past visit,6/12/2019,6/16/2019,6/8/2019,6/16/2019,6/12/2019,6/8/2019
